t,theta
0.0,1.2455923997631406
0.005,1.2624661884298827
0.01,1.2839419194602817
0.015,1.3084856120664519
0.02,1.337631247036279
0.025,1.368310862793992
0.03,1.402058440127476
0.035,1.4404079598246171
0.04,1.4802914603096438
0.045,1.5232429223704418
0.05,1.5677283652191252
0.055,1.6152817696435802
0.06,1.6643691548559207
0.065,1.7165245016440325
0.07,1.77021382922003
0.075,1.8223691760081417
0.08,1.8775924843720249
0.085,1.932815792735908
0.09,1.9895730818876767
0.095,2.046330371039445
0.1,2.1015536794033283
0.105,2.1567769877672114
0.11,2.2120002961310945
0.115,2.265689623707092
0.12,2.3178449704952038
0.125,2.3700003172833157
0.13,2.420621683283542
0.135,2.4697090684958822
0.14,2.5172624729203372
0.145,2.5632818965569064
0.15,2.6062333586177044
0.155,2.6476508398906167
0.16,2.6860003595877577
0.165,2.7212819177091276
0.17,2.7550294950426117
0.17500000000000002,2.784175130012439
0.18,2.8102528034064944
0.185,2.8332625152247792
0.19,2.851670284679407
0.195,2.868544073346149
0.2,2.8808159196492342
0.20500000000000002,2.890019804376548
0.21,2.8946217467402047
0.215,2.8946217467402047
0.22,2.8930877659523193
0.225,2.8884858235886623
0.23,2.8792819388613484
0.23500000000000001,2.8670100925582633
0.24,2.851670284679407
0.245,2.834796496012665
0.25,2.81178678419438
0.255,2.788777072376096
0.26,2.761165418194154
0.265,2.730485802436441
0.27,2.6998061866787286
0.275,2.6645246285573587
0.28,2.6277090896481035
0.28500000000000003,2.5893595699509624
0.29,2.54794208867805
0.295,2.5065246074051375
0.3,2.46357314534434
0.305,2.419087702495656
0.31,2.373068278859087
0.315,2.3270488552225177
0.32,2.2794954507980627
0.325,2.2319420463736077
0.33,2.1859226227370385
0.335,2.136835237524698
0.34,2.0923497946760143
0.34500000000000003,2.046330371039445
0.35000000000000003,2.000310947402876
0.355,1.9573594853420782
0.36,1.9144080232812801
0.365,1.872990542008368
0.37,1.8346410223112268
0.375,1.7962915026140858
0.38,1.7625439252806017
0.385,1.7303303287350031
0.39,1.6996507129772904
0.395,1.6735730395832344
0.4,1.6490293469770643
0.405,1.6275536159466653
0.41000000000000003,1.6091458464920376
0.41500000000000004,1.5953400194010667
0.42,1.5830681730979816
0.425,1.5753982691585535
0.43,1.5707963267948966
0.435,1.569262346007011
0.44,1.5707963267948966
0.445,1.573864288370668
0.45,1.5800002115222105
0.455,1.5892040962495242
0.46,1.6014759425526093
0.465,1.6137477888556946
0.47000000000000003,1.6290875967345508
0.47500000000000003,1.6474953661891787
0.48,1.667437116431692
0.485,1.688912847462091
0.49,1.7119225592803755
0.495,1.7380002326744315
0.5,1.765611886856373
0.505,1.7947575218262002
0.51,1.8239031567960273
0.515,1.8545827725537403
0.52,1.8883303498872244
0.525,1.9205439464328227
0.53,1.9558255045541926
0.535,1.9911070626755623
0.54,2.026388620796932
0.545,2.060136198130416
0.55,2.095417756251786
0.555,2.132233295161041
0.56,2.167514853282411
0.5650000000000001,2.201262430615895
0.5700000000000001,2.2350100079493793
0.5750000000000001,2.2687575852828634
0.58,2.3025051626163475
0.585,2.334718759161946
0.59,2.3653983749196588
0.595,2.3930100291016
0.6,2.420621683283542
0.605,2.446699356677598
0.61,2.4727770300716534
0.615,2.4942527611020524
0.62,2.5157284921324514
0.625,2.5341362615870793
0.63,2.5510100502538213
0.635,2.5663498581326776
0.64,2.5786217044357627
0.645,2.5893595699509624
0.65,2.5985634546782763
0.655,2.6031653970419333
0.66,2.6062333586177044
0.665,2.60776733940559
0.67,2.6062333586177044
0.675,2.6031653970419333
0.68,2.5985634546782763
0.685,2.5908935507388478
0.6900000000000001,2.5801556852236485
0.6950000000000001,2.569417819708449
0.7000000000000001,2.5556119926174783
0.705,2.5418061655265074
0.71,2.5249323768597653
0.715,2.5065246074051375
0.72,2.4850488763747385
0.725,2.46357314534434
0.73,2.442097414313941
0.735,2.4175537217077703
0.74,2.3930100291016
0.745,2.366932355707544
